freq(GHz),QNs,"log(Aul)(log,s-1)",Eu/kB(K),gu,cat
72.41469360,J=1-0,-4.88018,3.47534,9.0,CDMS
144.82800150,J=2-1,-3.89786,10.42595,15.0,CDMS
217.23853780,J=3-2,-3.33964,20.85164,21.0,CDMS
289.64491700,J=4-3,-2.94907,34.75233,27.0,CDMS
362.04575350,J=5-4,-2.64860,52.12766,33.0,CDMS
506.82525500,J=7-6,-2.19890,97.30100,45.0,CDMS
434.4396621,J=6-5,-2.40444,72.97744,39.0,CDMS
579.20115400,J=8-7,-2.02139,125.09816,51.0,CDMS
651.56597200,J=9-8,-1.86516,156.36826,57.0,CDMS
723.91832000,J=10-9,-1.72566,191.11066,63.0,CDMS
796.25682500,J=11-10,-1.59964,229.32472,69.0,CDMS
868.58009100,J=12-11,-1.48482,271.00979,75.0,CDMS
940.88675500,J=13-12,-1.37932,316.16496,81.0,CDMS
1013.17540770,J=14-13,-1.28169,364.78943,87.0,CDMS
1085.44468960,J=15-14,-1.19090,416.88227,93.0,CDMS
1157.69321440,J=16-15,-1.10612,472.44241,99.0,CDMS
1229.91960250,J=17-16,-1.02643,531.46893,105.0,CDMS
1302.12247530,J=18-17,-0.95142,593.96059,111.0,CDMS
1374.30045510,J=19-18,-0.88057,659.91619,117.0,CDMS
1446.45216520,J=20-19,-0.81337,729.33465,123.0,CDMS
1518.57622990,J=21-20,-0.74942,802.21433,129.0,CDMS
1590.67127440,J=22-21,-0.68852,878.55415,135.0,CDMS
1662.73592520,J=23-22,-0.63035,958.35245,141.0,CDMS
1734.76880980,J=24-23,-0.57472,1041.60775,147.0,CDMS
1806.76855720,J=25-24,-0.52143,1128.31838,153.0,CDMS
1878.73372800,J=26-25,-0.47017,1218.48285,159.0,CDMS
1950.66315300,J=27-26,-0.42094,1312.09937,165.0,CDMS
2022.55528260,J=28-27,-0.37355,1409.16627,171.0,CDMS
2094.40879490,J=29-28,-0.32779,1509.68135,177.0,CDMS
2166.22233400,J=30-29,-0.28356,1613.64309,183.0,CDMS
2237.99453710,J=31-30,-0.24086,1721.04928,189.0,CDMS
2309.72404300,J=32-31,-0.19961,1831.89797,195.0,CDMS
2381.40949210,J=33-32,-0.15959,1946.18696,201.0,CDMS
2453.04952660,J=34-33,-0.12072,2063.91400,207.0,CDMS
2524.64279040,J=35-34,-0.08308,2185.07716,213.0,CDMS
2596.18792910,J=36-35,-0.04649,2309.67379,219.0,CDMS
2667.68359030,J=37-36,-0.01095,2437.70166,225.0,CDMS
2739.12842340,J=38-37,0.02364,2569.15828,231.0,CDMS
2810.52107970,J=39-38,0.05728,2704.04126,237.0,CDMS
2881.86021270,J=40-39,0.09006,2842.34796,243.0,CDMS
2953.14447780,J=41-40,0.12208,2984.07572,249.0,CDMS
3024.37253270,J=42-41,0.15324,3129.22188,255.0,CDMS
3095.54303690,J=43-42,0.18364,3277.78366,261.0,CDMS
3166.65465260,J=44-43,0.21336,3429.75824,267.0,CDMS
3237.70604390,J=45-44,0.24231,3585.14284,273.0,CDMS
3308.69587740,J=46-45,0.27068,3743.93422,279.0,CDMS
3379.62282200,J=47-46,0.29847,3906.12959,285.0,CDMS
3450.48554920,J=48-47,0.32558,4071.72585,291.0,CDMS
3521.28273270,J=49-48,0.35209,4240.71979,297.0,CDMS
3592.01304900,J=50-49,0.37811,4413.10833,303.0,CDMS
3662.67517710,J=51-50,0.40363,4588.88793,309.0,CDMS
3733.26779850,J=52-51,0.42855,4768.05551,315.0,CDMS
3803.78959770,J=53-52,0.45296,4950.60757,321.0,CDMS
3874.23926170,J=54-53,0.47696,5136.54072,327.0,CDMS
3944.61548030,J=55-54,0.50053,5325.85130,333.0,CDMS
4014.91694640,J=56-55,0.52359,5518.53581,339.0,CDMS
4085.14235560,J=57-56,0.54622,5714.59059,345.0,CDMS
4155.29040640,J=58-57,0.56851,5914.01196,351.0,CDMS
4225.35980050,J=59-58,0.59037,6116.79613,357.0,CDMS
4295.34924270,J=60-59,0.61179,6322.93916,363.0,CDMS
4365.25744060,J=61-60,0.63285,6532.43724,369.0,CDMS
4435.08310530,J=62-61,0.65366,6745.28642,375.0,CDMS
4504.82495100,J=63-62,0.67401,6961.48276,381.0,CDMS
4574.48169510,J=64-63,0.69409,7181.02202,387.0,CDMS
